name,city,rating,reviews,phone,email,website,address
TARGET 9 - BEST IELTS and PTE institute in Jalandhar,Jalandhar,4.8,,"
070878 78707",,https://www.instagram.com/target9_ielts_pte/,"
285, Garha Rd, adjacent to Railway crossing, near Bus stand, Defence Colony, Jalandhar, Punjab 144001"
"IBT - IELTS Institute in Jalandhar, IELTS coaching in Jalandhar",Jalandhar,4.5,,"
075205 12345",,https://www.ibtenglish.in/best-ielts-institutes-in-jalandhar,"
IBT Institute, opposite PIMS, SCO-65, Garha Rd, Gurjit Nagar, Jalandhar, Punjab 144001"
"TIMES ACADEMY - IELTS Institute in Jalandhar, Nanny Course in Jalandhar, Nanny Training in Jalandhar",Jalandhar,4.9,,"
086992 32323",,http://www.timesacademy.in/,"
112, Kuber Complex, near Bus Stand, Shantipura, Ranjit Nagar, Jalandhar, Punjab 144001"
IELTS 9 bands Academy 4 SL group (uk Study Visa Immigration consultant),Jalandhar,5.0,,"
099887 07717",,https://ielts9bands.com/,"
4, sl group, Amandeep Ave, near Rly Crossing, Maqsudan, Jalandhar, Punjab 144008"
Pyramid e Institute - Best IELTS/PTE Institute in Jalandhar,Jalandhar,4.9,,"
091155 92444",,,"
Building no. 946, Bus Stand, near Raja Hotel, New Market, Fentonganj, Jalandhar, Punjab 144001"
"Touchstone Educationals - Best IELTS, PTE, TOEFL Cosching Institute in Jalandhar",Jalandhar,4.3,,"
0172 500 0060",,https://www.touchstoneedu.com/ielts-study-abroad-touchstone-jalandhar,"
739, Mota Singh Nagar, Jalandhar, Punjab 144001"
"Victoria london school-Best IELTS Institutes in Jalandhar , Best PTE Institutes in Jalandhar",Jalandhar,4.7,,"
098760 12345",,http://www.victorialondonschool.com/,"
Scf73, opp, Garha Rd, opp. pims hospital, Choti Baradari Part 2, Choti Baradari, Jalandhar, Punjab 144001"
Shepherds-Best Spoken English and English speaking institute in Ludhiana,Ludhiana,4.9,,"
070875 57787",,https://www.shepherdsedu.com/,"
1136, Harnam Nagar Rd, Shastri Nagar, Model Town, Ludhiana, Punjab 141002"
"Lexington Best Immigration Consultancy & (IELTS,PTE,OET, German Coaching Centre) Ludhiana &Canada",Ludhiana,4.9,,"
098720 21991",,http://lexingtonielts.com/,
ACCT | Best IELTS Institute in Ludhiana | SIEC Test Masters,Ludhiana,4.8,,"
097790 46382",,https://www.siecindia.com/,"
Ground Floor, Chevron Hotel Complex, near Passport Office, opp. Preet Palace, Model Town, Ludhiana, Punjab 141002"
